Index,X_mm,Z_mm,Intensity,Valid
245,-1.56135,0.137054,149,1
246,-1.55894,0.13736,149,1
247,-1.55654,0.137411,152,1
248,-1.55414,0.137564,157,1
249,-1.55174,0.137666,160,1
250,-1.54934,0.137377,150,1
251,-1.54694,0.137377,155,1
252,-1.54454,0.137547,152,1
253,-1.54214,0.137547,152,1
254,-1.53974,0.137547,153,1
255,-1.53734,0.137428,146,1
256,-1.53494,0.137377,145,1
257,-1.53254,0.137513,143,1
258,-1.53014,0.137496,138,1
259,-1.52774,0.137207,141,1
260,-1.52534,0.136816,138,1
261,-1.52294,0.136833,143,1
262,-1.52054,0.136867,159,1
263,-1.51814,0.137122,169,1
264,-1.51574,0.137105,171,1
265,-1.51334,0.136986,174,1
266,-1.51094,0.137003,175,1
267,-1.50854,0.136816,171,1
268,-1.50614,0.13685,165,1
269,-1.50374,0.137054,159,1
270,-1.50134,0.137258,159,1
271,-1.49894,0.137479,159,1
272,-1.49654,0.137326,155,1
273,-1.49414,0.137207,154,1
274,-1.49174,0.137071,151,1
275,-1.48934,0.137173,155,1
276,-1.48694,0.137343,150,1
277,-1.48454,0.137547,138,1
278,-1.48214,0.13787,134,1
279,-1.47974,0.137904,124,1
280,-1.47734,0.138312,109,1
281,-1.47494,0.137989,89,1
282,-1.47254,0.136782,70,1
283,-1.47014,0.135592,51,1
284,-1.46774,0.135473,53,1
285,-1.46534,0.135439,61,1
286,-1.46294,0.135473,69,1
287,-1.46054,0.135252,78,1
288,-1.45814,0.134895,84,1
289,-1.45574,0.134521,92,1
290,-1.45334,0.134742,101,1
291,-1.45093,0.135133,106,1
292,-1.44853,0.135881,108,1
293,-1.44613,0.136408,116,1
294,-1.44373,0.136663,125,1
295,-1.44133,0.136867,129,1
296,-1.43893,0.136867,125,1
297,-1.43653,0.136918,119,1
298,-1.43413,0.136918,118,1
299,-1.43173,0.13702,127,1
300,-1.42933,0.137292,135,1
301,-1.42693,0.137258,118,1
302,-1.42453,0.137156,93,1
303,-1.42213,0.137037,71,1
304,-1.41973,0.137292,52,1
305,-1.41733,0.138125,50,1
306,-1.41493,0.138346,50,1
307,-1.41253,0.138176,52,1
308,-1.41013,0.137428,53,1
309,-1.40773,0.136357,53,1
310,-1.40533,0.136663,55,1
311,-1.40293,0.137156,63,1
312,-1.40053,0.136833,63,1
313,-1.39813,0.13651,63,1
314,-1.39573,0.136731,66,1
315,-1.39333,0.137088,72,1
316,-1.39093,0.137156,75,1
317,-1.38853,0.137139,77,1
318,-1.38613,0.136867,70,1
319,-1.38373,0.137615,64,1
320,-1.38133,0.138278,64,1
321,-1.37893,0.137802,65,1
322,-1.37653,0.136646,65,1
323,-1.37413,0.136136,70,1
324,-1.37173,0.136255,75,1
325,-1.36933,0.136272,84,1
326,-1.36693,0.136425,101,1
327,-1.36453,0.136578,108,1
328,-1.36213,0.13651,108,1
329,-1.35973,0.136493,116,1
330,-1.35733,0.136612,126,1
331,-1.35493,0.136799,135,1
332,-1.35253,0.136935,141,1
333,-1.35013,0.136833,142,1
334,-1.34773,0.136884,140,1
335,-1.34533,0.137054,138,1
336,-1.34292,0.136952,139,1
337,-1.34052,0.137037,141,1
338,-1.33812,0.136782,139,1
339,-1.33572,0.136391,145,1
340,-1.33332,0.136289,162,1
341,-1.33092,0.136272,163,1
342,-1.32852,0.136136,160,1
343,-1.32612,0.136221,156,1
344,-1.32372,0.136323,153,1
345,-1.32132,0.136442,152,1
346,-1.31892,0.136442,152,1
347,-1.31652,0.136221,148,1
348,-1.31412,0.136,141,1
349,-1.31172,0.136119,139,1
350,-1.30932,0.136153,146,1
351,-1.30692,0.136153,153,1
352,-1.30452,0.136272,162,1
353,-1.30212,0.136068,156,1
354,-1.29972,0.135966,149,1
355,-1.29732,0.136323,151,1
356,-1.29492,0.136323,147,1
357,-1.29252,0.135932,135,1
358,-1.29012,0.135456,122,1
359,-1.28772,0.135354,111,1
360,-1.28532,0.135252,107,1
361,-1.28292,0.13515,108,1
362,-1.28052,0.135116,106,1
363,-1.27812,0.135133,113,1
364,-1.27572,0.135456,129,1
365,-1.27332,0.135575,132,1
366,-1.27092,0.13532,132,1
367,-1.26852,0.135269,140,1
368,-1.26612,0.135388,147,1
369,-1.26372,0.135422,151,1
370,-1.26132,0.135218,147,1
371,-1.25892,0.135405,146,1
372,-1.25652,0.135609,147,1
373,-1.25412,0.135575,157,1
374,-1.25172,0.135626,169,1
375,-1.24932,0.136119,178,1
376,-1.24692,0.136323,178,1
377,-1.24452,0.136017,173,1
378,-1.24212,0.135728,167,1
379,-1.23972,0.135507,183,1
380,-1.23732,0.135864,181,1
381,-1.23491,0.135558,172,1
382,-1.23251,0.135439,161,1
383,-1.23011,0.135626,164,1
384,-1.22771,0.135949,171,1
385,-1.22531,0.136119,171,1
386,-1.22291,0.135983,174,1
387,-1.22051,0.136238,181,1
388,-1.21811,0.136544,186,1
389,-1.21571,0.136425,191,1
390,-1.21331,0.135881,196,1
391,-1.21091,0.136068,205,1
392,-1.20851,0.136357,206,1
393,-1.20611,0.136374,197,1
394,-1.20371,0.136204,188,1
395,-1.20131,0.136153,191,1
396,-1.19891,0.136255,199,1
397,-1.19651,0.135949,195,1
398,-1.19411,0.135524,183,1
399,-1.19171,0.135439,181,1
400,-1.18931,0.135473,179,1
401,-1.18691,0.13532,179,1
402,-1.18451,0.135405,186,1
403,-1.18211,0.135558,191,1
404,-1.17971,0.13532,193,1
405,-1.17731,0.135133,189,1
406,-1.17491,0.135082,181,1
407,-1.17251,0.135201,181,1
408,-1.17011,0.135269,185,1
409,-1.16771,0.135133,185,1
410,-1.16531,0.135286,185,1
411,-1.16291,0.135745,184,1
412,-1.16051,0.135456,181,1
413,-1.15811,0.135167,178,1
414,-1.15571,0.134929,184,1
415,-1.15331,0.134844,187,1
416,-1.15091,0.134912,181,1
417,-1.14851,0.135031,171,1
418,-1.14611,0.135116,170,1
419,-1.14371,0.135286,171,1
420,-1.14131,0.135286,176,1
421,-1.13891,0.135609,184,1
422,-1.13651,0.135813,187,1
423,-1.13411,0.135779,182,1
424,-1.13171,0.135558,170,1
425,-1.12931,0.135422,166,1
426,-1.1269,0.13549,167,1
427,-1.1245,0.135218,168,1
428,-1.1221,0.135133,174,1
429,-1.1197,0.135201,181,1
430,-1.1173,0.135286,184,1
431,-1.1149,0.13532,185,1
432,-1.1125,0.135031,188,1
433,-1.1101,0.134929,189,1
434,-1.1077,0.135065,188,1
435,-1.1053,0.135184,187,1
436,-1.1029,0.135286,183,1
437,-1.1005,0.134844,178,1
438,-1.0981,0.134538,178,1
439,-1.0957,0.134929,181,1
440,-1.0933,0.135099,183,1
441,-1.0909,0.135065,182,1
442,-1.0885,0.135048,187,1
443,-1.0861,0.135592,195,1
444,-1.0837,0.135796,193,1
445,-1.0813,0.135745,186,1
446,-1.0789,0.135643,186,1
447,-1.0765,0.135541,188,1
448,-1.0741,0.135269,179,1
449,-1.0717,0.135439,179,1
450,-1.0693,0.135456,174,1
451,-1.0669,0.135473,169,1
452,-1.0645,0.135643,176,1
453,-1.0621,0.135898,180,1
454,-1.0597,0.135524,171,1
455,-1.0573,0.135235,169,1
456,-1.0549,0.134878,166,1
457,-1.0525,0.134827,163,1
458,-1.0501,0.134878,163,1
459,-1.0477,0.135014,166,1
460,-1.0453,0.13515,167,1
461,-1.0429,0.135116,168,1
462,-1.0405,0.134997,167,1
463,-1.0381,0.134912,166,1
464,-1.0357,0.134963,163,1
465,-1.0333,0.135065,160,1
466,-1.0309,0.135439,160,1
467,-1.0285,0.135439,158,1
468,-1.0261,0.135082,164,1
469,-1.0237,0.135218,176,1
470,-1.02129,0.135031,178,1
471,-1.01889,0.134623,171,1
472,-1.01649,0.134572,165,1
473,-1.01409,0.134487,164,1
474,-1.01169,0.134436,166,1
475,-1.00929,0.134317,164,1
476,-1.00689,0.134317,158,1
477,-1.00449,0.134487,156,1
478,-1.00209,0.134385,155,1
479,-0.999693,0.134385,158,1
